fca_sym,FBgn,fa_sym
CG10089,FBgn0036369,CG10089
CG10104,FBgn0033933,CG10104
CG10126,FBgn0038088,CG10126
CG10151,FBgn0033960,CG10151
CG10164,FBgn0039088,CG10164
CG10171,FBgn0036353,CG10171
CG10177,FBgn0039083,CG10177
CG10252,FBgn0039104,CG10252
CG10254,FBgn0027512,CG10254
CG10265,FBgn0033990,CG10265
CG10268,FBgn0032811,Pmvk
CG10298,FBgn0037432,CG10298
CG10307,FBgn0034655,CG10307
CG10317,FBgn0038423,CG10317
CG10343,FBgn0032703,CG10343
CG10344,FBgn0034729,CG10344
CG10347,FBgn0030342,CG10347
CG10348,FBgn0032707,CG10348
CG10365,FBgn0039109,CG10365
CG10366,FBgn0032814,CG10366
CG10383,FBgn0032699,CG10383
CG10407,FBgn0038395,Jhbp5
CG10431,FBgn0032730,CG10431
CG10459,FBgn0033440,CG10459
CG10481,FBgn0032827,CG10481
CG10486,FBgn0035647,CG10486
CG10510,FBgn0037059,CG10510
CG10561,FBgn0002036,CG10561
CG10565,FBgn0037051,CG10565
CG10588,FBgn0037037,CG10588
CG10589,FBgn0037035,CG10589
CG10616,FBgn0036286,CG10616
CG10660,FBgn0036288,CG10660
CG10694,FBgn0039147,CG10694
CG10700,FBgn0032754,CG10700
CG10731,FBgn0034081,CG10731
CG10734,FBgn0034082,CG10734
CG10748,FBgn0036327,CG10748
CG10749,FBgn0036328,CG10749
CG10750,FBgn0032769,CG10750
CG10752,FBgn0036325,CG10752
CG10761,FBgn0030015,CG10761
CG10801,FBgn0029660,CG10801
CG10809,FBgn0036052,CG10809
CG10822,FBgn0034478,CG10822
CG10834,FBgn0032972,CG10834
CG10839,FBgn0028858,CG10839
CG10841,FBgn0038163,CG10841
CG10845,FBgn0039246,CG10845
CG10859,FBgn0032520,CG10859
CG10862,FBgn0035455,CG10862
CG10866,FBgn0035475,CG10866
CG10869,FBgn0031347,nis
CG10887,FBgn0038773,CG10887
CG10909,FBgn0038090,CG10909
CG10919,FBgn0037514,CG10919
CG10920,FBgn0029963,CG10920
CG10931,FBgn0034274,CG10931
CG10934,FBgn0034263,CG10934
CG10947,FBgn0032857,CG10947
CG10950,FBgn0034205,CG10950
CG10958,FBgn0030004,CG10958
CG10969,FBgn0036310,CG10969
CG10970,FBgn0030078,CG10970
CG10984,FBgn0036305,CG10984
CG10993,FBgn0030524,CG10993
CG10996,FBgn0030525,CG10996
CG11007,FBgn0034455,CG11007
CG11018,FBgn0034464,CG11018
CG11035,FBgn0037544,CG11035
CG11052,FBgn0040524,CG11052
CG11060,FBgn0033149,CG11060
CG11068,FBgn0030536,CG11068
CG11070,FBgn0028467,Ube4A
CG11106,FBgn0030280,CG11106
CG11110,FBgn0034535,CG11110
CG11125,FBgn0033174,CG11125
CG11141,FBgn0033177,CG11141
CG11145,FBgn0033168,CG11145
CG11226,FBgn0037195,CG11226
CG11227,FBgn0031139,CG11227
CG11248,FBgn0037117,CG11248
CG11249,FBgn0037115,CG11249
CG11251,FBgn0036346,CG11251
CG11262,FBgn0036329,CG11262
CG11286,FBgn0037516,CG11286
CG11291,FBgn0034713,CG11291
CG11294,FBgn0030058,CG11294
CG11298,FBgn0034721,CG11298
CG11322,FBgn0031856,CG11322
CG11327,FBgn0031849,CG11327
CG11333,FBgn0039850,CG11333
CG11362,FBgn0034737,CG11362
CG11369,FBgn0029951,CG11369
CG1137,FBgn0037454,CG1137
CG11373,FBgn0040679,CG11373
CG11379,FBgn0040362,CG11379
CG1138,FBgn0037456,CG1138
CG11404,FBgn0037169,CG11404
CG1146,FBgn0035346,CG1146
CG11474,FBgn0034688,CG11474
CG11475,FBgn0034687,CG11475
CG11562,FBgn0031247,CG11562
CG11586,FBgn0035520,CG11586
CG11588,FBgn0036221,CG11588
CG11597,FBgn0036212,CG11597
CG11629,FBgn0032965,CG11629
CG11630,FBgn0032964,CG11630
CG11634,FBgn0032968,CG11634
CG11635,FBgn0033283,CG11635
CG11656,FBgn0038109,CG11656
CG11663,FBgn0029539,CG11663
CG11666,FBgn0040648,CG11666
CG11694,FBgn0037571,CG11694
CG11698,FBgn0037572,CG11698
CG11703,FBgn0038690,CG11703
CG11714,FBgn0036170,CG11714
CG1172,FBgn0264712,CG1172
CG11722,FBgn0037777,NdufAF4
CG11726,FBgn0036156,CG11726
CG11756,FBgn0030290,CG11756
CG11779,FBgn0038683,CG11779
CG11815,FBgn0035299,CG11815
CG11816,FBgn0030495,CG11816
CG11885,FBgn0031253,CG11885
CG11927,FBgn0031638,CG11927
CG11929,FBgn0031620,CG11929
CG11983,FBgn0037654,CG11983
CG11986,FBgn0037656,CG11986
CG12020,FBgn0035273,CG12020
CG12035,FBgn0035263,CG12035
CG12061,FBgn0040031,CG12061
CG12069,FBgn0039796,CG12069
CG12078,FBgn0035426,CG12078
CG12104,FBgn0035238,CG12104
CG12111,FBgn0030050,CG12111
CG12118,FBgn0030101,CG12118
CG12123,FBgn0030039,CG12123
CG12126,FBgn0033280,CG12126
CG12147,FBgn0037325,CG12147
CG12159,FBgn0033232,CG12159
CG12179,FBgn0025388,Alms1a
CG12182,FBgn0028504,CG12182
CG12184,FBgn0025387,Alms1b
CG12209,FBgn0033498,CG12209
CG12229,FBgn0036723,CG12229
CG12231,FBgn0031026,CG12231
CG12289,FBgn0036160,CG12289
CG12307,FBgn0032370,CG12307
CG12343,FBgn0033556,CG12343
CG12347,FBgn0038558,CG12347
CG12355,FBgn0040805,CG12355
CG12362,FBgn0036082,CG12362
CG12376,FBgn0033323,CG12376
CG12395,FBgn0030722,CG12395
CG12426,FBgn0039552,CG12426
CG12438,FBgn0032065,CG12438
CG12439,FBgn0032094,CG12439
CG12446,FBgn0031201,CG12446
CG12448,FBgn0028857,CG12448
CG12464,FBgn0033861,CG12464
CG12470,FBgn0040371,CG12470
CG12477,FBgn0036809,CG12477
CG12479,FBgn0040871,Mic10a
CG12493,FBgn0035571,CG12493
CG12498,FBgn0040356,CG12498
CG12511,FBgn0031729,CG12511
CG12516,FBgn0039577,CG12516
CG12521,FBgn0040816,CG12521
CG12589,FBgn0040684,CG12589
CG12592,FBgn0037811,CG12592
CG12605,FBgn0035481,CG12605
CG12609,FBgn0030952,CG12609
CG12617,FBgn0040996,CG12617
CG12620,FBgn0032626,CG12620
CG12637,FBgn0030224,CG12637
CG12645,FBgn0030181,CG12645
CG12674,FBgn0031388,CG12674
CG12679,FBgn0031103,CG12679
CG12680,FBgn0029740,CG12680
CG12682,FBgn0029729,CG12682
CG12684,FBgn0029717,CG12684
CG12689,FBgn0029952,CG12689
CG12691,FBgn0029701,CG12691
CG12692,FBgn0029703,CG12692
CG12693,FBgn0029705,CG12693
CG12698,FBgn0030721,CG12698
CG12699,FBgn0046294,CG12699
CG12713,FBgn0036536,CG12713
CG12725,FBgn0030483,CG12725
CG12729,FBgn0029816,CG12729
CG12782,FBgn0034838,CG12782
CG12783,FBgn0038448,CG12783
CG12784,FBgn0038356,CG12784
CG12817,FBgn0037798,CG12817
CG12831,FBgn0033141,CG12831
CG12857,FBgn0033963,CG12857
CG12860,FBgn0033954,CG12860
CG12861,FBgn0033953,CG12861
CG12866,FBgn0033955,Targ
CG1288,FBgn0250845,CG1288
CG12914,FBgn0033499,CG12914
CG12917,FBgn0033490,CG12917
CG12923,FBgn0033461,CG12923
CG12983,FBgn0037040,CG12983
CG12984,FBgn0037042,CG12984
CG12992,FBgn0030846,CG12992
CG13008,FBgn0030780,CG13008
CG13010,FBgn0030770,CG13010
CG13021,FBgn0029669,CG13021
CG13022,FBgn0036679,CG13022
CG13029,FBgn0036670,CG13029
CG13032,FBgn0036652,CG13032
CG13039,FBgn0036609,CG13039
CG13040,FBgn0036608,CG13040
CG13088,FBgn0032047,CG13088
CG13110,FBgn0032111,CG13110
CG13123,FBgn0032150,CG13123
CG13127,FBgn0032176,CG13127
CG13131,FBgn0032175,CG13131
CG13137,FBgn0032188,CG13137
CG1314,FBgn0031134,CG1314
CG13148,FBgn0033767,CG13148
CG13168,FBgn0033705,CG13168
CG1317,FBgn0035333,CG1317
CG13186,FBgn0033680,CG13186
CG13197,FBgn0062449,CG13197
CG13202,FBgn0033623,CG13202
CG13203,FBgn0033628,CG13203
CG13223,FBgn0033599,CG13223
CG13239,FBgn0037197,CG13239
CG1324,FBgn0031129,CG1324
CG13243,FBgn0028903,CG13243
CG13244,FBgn0032577,CG13244
CG13280,FBgn0032609,CG13280
CG13282,FBgn0032612,CG13282
CG13326,FBgn0033794,CG13326
CG13330,FBgn0033848,CG13330
CG13334,FBgn0033856,CG13334
CG13337,FBgn0033863,CG13337
CG13344,FBgn0033884,CG13344
CG13359,FBgn0025616,CG13359
CG13385,FBgn0032039,CG13385
CG13405,FBgn0035097,CG13405
CG13423,FBgn0034513,CG13423
CG13426,FBgn0034510,CG13426
CG13436,FBgn0034532,CG13436
CG13442,FBgn0034546,CG13442
CG13449,FBgn0036520,CG13449
CG13455,FBgn0036498,CG13455
CG13457,FBgn0036482,CG13457
CG13471,FBgn0036443,CG13471
CG13473,FBgn0036442,CG13473
CG13474,FBgn0036439,CG13474
CG13476,FBgn0036441,CG13476
CG13481,FBgn0036421,CG13481
CG13494,FBgn0034671,CG13494
CG13501,FBgn0034684,CG13501
CG13526,FBgn0034774,CG13526
CG13527,FBgn0034776,CG13527
CG13538,FBgn0034820,CG13538
CG13539,FBgn0034833,CG13539
CG13540,FBgn0034839,CG13540
CG13541,FBgn0034841,atlas
CG13544,FBgn0034826,CG13544
CG13558,FBgn0034869,CG13558
CG13564,FBgn0034973,Mic10c
CG13577,FBgn0034998,CG13577
CG13581,FBgn0035014,CG13581
CG13599,FBgn0039128,CG13599
CG13615,FBgn0039199,CG13615
CG13617,FBgn0039201,DZIP1
CG13667,FBgn0035890,CG13667
CG13679,FBgn0035856,CG13679
CG13693,FBgn0031235,CG13693
CG13700,FBgn0036785,CG13700
CG13723,FBgn0036705,CG13723
CG13725,FBgn0036708,CG13725
CG13733,FBgn0036729,CG13733
CG13742,FBgn0033372,CG13742
CG13747,FBgn0033364,CG13747
CG13771,FBgn0031844,CG13771
CG13801,FBgn0035332,CG13801
CG13829,FBgn0039059,CG13829
CG13842,FBgn0039009,CG13842
CG13843,FBgn0038993,CG13843
CG13855,FBgn0038960,CG13855
CG1387,FBgn0030033,CG1387
CG13870,FBgn0034506,CG13870
CG13871,FBgn0034502,CG13871
CG13872,FBgn0034477,CG13872
CG13884,FBgn0035138,CG13884
CG13891,FBgn0035139,CG13891
CG13898,FBgn0035161,CG13898
CG13901,FBgn0035164,CG13901
CG1394,FBgn0030277,CG1394
CG13970,FBgn0032851,CG13970
CG13978,FBgn0039518,CG13978
CG13984,FBgn0260452,CG13984
CG13989,FBgn0031786,CG13989
CG13991,FBgn0031785,CG13991
CG13994,FBgn0031772,CG13994
CG13999,FBgn0031753,CG13999
CG14000,FBgn0031749,CG14000
CG14006,FBgn0031733,CG14006
CG14007,FBgn0031731,CG14007
CG14011,FBgn0031722,CG14011
CG14013,FBgn0031720,CG14013
CG14017,FBgn0031721,CG14017
CG14020,FBgn0031707,CG14020
CG14043,FBgn0031659,CG14043
CG14053,FBgn0029603,CG14053
CG14054,FBgn0029596,CG14054
CG14069,FBgn0032315,CG14069
CG1407,FBgn0033474,CG1407
CG14070,FBgn0032313,CG14070
CG14071,FBgn0032312,CG14071
CG14077,FBgn0036830,COX6AL2
CG1409,FBgn0029964,CG1409
CG14106,FBgn0260459,CG14106
CG14111,FBgn0036350,CG14111
CG14113,FBgn0040814,CG14113
CG14151,FBgn0036089,CG14151
CG14154,FBgn0036093,CG14154
CG14174,FBgn0036036,CG14174
CG1418,FBgn0033468,CG1418
CG14183,FBgn0036931,CG14183
CG14190,FBgn0030979,CG14190
CG1421,FBgn0032966,CG1421
CG14212,FBgn0031045,CG14212
CG14232,FBgn0031061,CG14232
CG14252,FBgn0039462,CG14252
CG14260,FBgn0039504,CG14260
CG14262,FBgn0039503,CG14262
CG14269,FBgn0029658,CG14269
CG14270,FBgn0029665,CG14270
CG1428,FBgn0032967,CG1428
CG14282,FBgn0038685,CG14282
CG14294,FBgn0038656,CG14294
CG14297,FBgn0038655,CG14297
CG14305,FBgn0038630,Tssk
CG14314,FBgn0038581,CG14314
CG14315,FBgn0038568,CG14315
CG14316,FBgn0038567,CG14316
CG14330,FBgn0038512,CG14330
CG14339,FBgn0031301,CG14339
CG14346,FBgn0031337,CG14346
CG14354,FBgn0039376,CG14354
CG14355,FBgn0038208,CG14355
CG14362,FBgn0038186,CG14362
CG14369,FBgn0038159,CG14369
CG14370,FBgn0038158,CG14370
CG14380,FBgn0038124,CG14380
CG14383,FBgn0038102,CG14383
CG14384,FBgn0038097,CG14384
CG14391,FBgn0038078,CG14391
CG14402,FBgn0032894,CG14402
CG14448,FBgn0037191,CG14448
CG14451,FBgn0037183,CG14451
CG14488,FBgn0034278,CG14488
CG14505,FBgn0034327,CG14505
CG14506,FBgn0039659,CG14506
CG14507,FBgn0039655,CG14507
CG14537,FBgn0031954,CG14537
CG14540,FBgn0039398,CG14540
CG14546,FBgn0039395,CG14546
CG14556,FBgn0039413,CG14556
CG14579,FBgn0287645,ccb
CG14589,FBgn0033063,CG14589
CG14605,FBgn0037486,CG14605
CG14609,FBgn0037483,CG14609
CG14628,FBgn0040365,CG14628
CG14631,FBgn0029552,CG14631
CG14634,FBgn0040892,CG14634
CG14635,FBgn0029535,CG14635
CG14644,FBgn0250821,CG14644
CG14651,FBgn0037254,sac
CG14658,FBgn0037283,CG14658
CG14659,FBgn0037284,CG14659
CG14662,FBgn0037291,CG14662
CG14668,FBgn0037320,CG14668
CG14676,FBgn0037388,CG14676
CG14684,FBgn0037824,CG14684
CG14689,FBgn0037826,CG14689
CG14691,FBgn0037829,CG14691
CG14693,FBgn0037837,CG14693
CG14708,FBgn0037910,CG14708
CG14712,FBgn0037924,CG14712
CG14717,FBgn0265271,CG14717
CG14718,FBgn0037939,CG14718
CG14721,FBgn0037942,CG14721
CG14731,FBgn0037964,CG14731
CG14736,FBgn0037986,CG14736
CG14739,FBgn0037987,CG14739
CG14740,FBgn0037988,Cs2
CG14743,FBgn0033326,CG14743
CG14744,FBgn0033324,CG14744
CG14759,FBgn0033278,CG14759
CG14763,FBgn0033243,CG14763
CG14785,FBgn0027795,CG14785
CG14810,FBgn0029589,CG14810
CG14811,FBgn0029590,CG14811
CG14835,FBgn0035782,CG14835
CG14838,FBgn0035799,mmm
CG14839,FBgn0038219,CG14839
CG14840,FBgn0038217,CG14840
CG14841,FBgn0038218,CG14841
CG14861,FBgn0038280,CG14861
CG14864,FBgn0038311,CG14864
CG14868,FBgn0038330,CG14868
CG14891,FBgn0038445,CG14891
CG14894,FBgn0038428,Ttc1
CG14915,FBgn0032335,CG14915
CG14921,FBgn0032345,Dnaaf4
CG14926,FBgn0032360,CG14926
CG14929,FBgn0032365,CG14929
CG14930,FBgn0032366,CG14930
CG14931,FBgn0032374,CG14931
CG14932,FBgn0032375,CG14932
CG1494,FBgn0031169,CG1494
CG14968,FBgn0035431,CG14968
CG14974,FBgn0040694,CG14974
CG14983,FBgn0035479,CG14983
CG14995,FBgn0035497,CG14995
CG15014,FBgn0035532,CG15014
CG15025,FBgn0038709,CG15025
CG1503,FBgn0031157,CG1503
CG15034,FBgn0029946,CG15034
CG15035,FBgn0029949,CG15035
CG15042,FBgn0030937,CG15042
CG15056,FBgn0030918,CG15056
CG15059,FBgn0030905,CG15059
CG15109,FBgn0034416,CG15109
CG15111,FBgn0034419,CG15111
CG15124,FBgn0034461,CG15124
CG15125,FBgn0034463,CG15125
CG15128,FBgn0034467,CG15128
CG15136,FBgn0032625,CG15136
CG15142,FBgn0032645,CG15142
CG15143,FBgn0032647,CG15143
CG15144,FBgn0032648,CG15144
CG15145,FBgn0032649,CG15145
CG15147,FBgn0032654,CG15147
CG15172,FBgn0032740,CG15172
CG15177,FBgn0037461,CG15177
CG15196,FBgn0030296,CG15196
CG15198,FBgn0030283,CG15198
CG15200,FBgn0030278,CG15200
CG15208,FBgn0030247,CG15208
CG15219,FBgn0040519,CG15219
CG15233,FBgn0033076,CG15233
CG15256,FBgn0028880,CG15256
CG15258,FBgn0032563,CG15258
CG15260,FBgn0028850,CG15260
CG15262,FBgn0028852,CG15262
CG15278,FBgn0032554,CG15278
CG15283,FBgn0028844,CG15283
CG15286,FBgn0028531,CG15286
CG15296,FBgn0030215,CG15296
CG15306,FBgn0030191,CG15306
CG15330,FBgn0029987,CG15330
CG15332,FBgn0029986,CG15332
CG15333,FBgn0029989,CG15333
CG15337,FBgn0030014,CG15337
CG15357,FBgn0040719,CG15357
CG15362,FBgn0031378,CG15362
CG15368,FBgn0030104,CG15368
CG15375,FBgn0029694,CG15375
CG15387,FBgn0031403,CG15387
CG15395,FBgn0031440,CG15395
CG15399,FBgn0031460,CG15399
CG15403,FBgn0031504,CG15403
CG15418,FBgn0031554,CG15418
CG15425,FBgn0265269,CG15425
CG15429,FBgn0031596,CG15429
CG15436,FBgn0031610,Paris
CG15445,FBgn0031161,CG15445
CG15446,FBgn0031155,CG15446
CG15450,FBgn0031132,CG15450
CG15452,FBgn0031130,CG15452
CG15458,FBgn0040651,CG15458
CG15459,FBgn0031108,CG15459
CG15468,FBgn0061196,CG15468
CG15471,FBgn0029726,CG15471
CG15472,FBgn0029724,CG15472
CG15475,FBgn0032867,CG15475
CG15482,FBgn0032483,CG15482
CG15483,FBgn0032457,CG15483
CG15498,FBgn0038892,CG15498
CG15530,FBgn0039752,CG15530
CG15536,FBgn0039766,CG15536
CG15543,FBgn0039799,CG15543
CG15547,FBgn0039809,CG15547
CG15548,FBgn0039812,CG15548
CG15549,FBgn0039810,CG15549
CG15572,FBgn0029702,CG15572
CG15576,FBgn0029700,CG15576
CG15577,FBgn0040904,CG15577
CG15578,FBgn0040905,CG15578
CG15579,FBgn0040906,CG15579
CG15580,FBgn0037398,CG15580
CG15605,FBgn0034196,CG15605
CG15625,FBgn0031644,CG15625
CG15631,FBgn0031626,CG15631
CG15638,FBgn0028943,CG15638
CG15657,FBgn0034595,CG15657
CG15676,FBgn0034651,CG15676
CG15708,FBgn0034099,CG15708
CG1571,FBgn0029993,CG1571
CG15710,FBgn0034120,CG15710
CG15711,FBgn0034122,CG15711
CG15715,FBgn0036538,CG15715
CG15719,FBgn0030440,CG15719
CG15728,FBgn0030409,CG15728
CG15734,FBgn0030374,CG15734
CG15742,FBgn0030462,CG15742
CG15764,FBgn0029817,CG15764
CG15767,FBgn0029809,CG15767
CG15800,FBgn0034904,CG15800
CG15824,FBgn0031292,CG15824
CG15873,FBgn0035003,CG15873
CG15876,FBgn0035569,CG15876
CG15878,FBgn0035316,CG15878
CG15880,FBgn0031283,CG15880
CG15882,FBgn0030983,CG15882
CG15892,FBgn0029859,CG15892
CG15909,FBgn0033090,CG15909
CG15930,FBgn0029754,CG15930
CG1631,FBgn0031101,CG1631
CG1638,FBgn0039855,CG1638
CG1662,FBgn0030481,CG1662
CG1663,FBgn0033449,CG1663
CG16719,FBgn0036029,CG16719
CG16736,FBgn0037668,CG16736
CG16739,FBgn0034505,CG16739
CG16741,FBgn0042198,CG16741
CG16781,FBgn0029661,CG16781
CG16782,FBgn0029659,CG16782
CG16812,FBgn0032488,CG16812
CG16824,FBgn0040973,CG16824
CG16825,FBgn0032503,CG16825
CG16837,FBgn0035009,CG16837
CG16848,FBgn0032522,Flad2
CG16852,FBgn0028942,CG16852
CG16853,FBgn0028941,CG16853
CG16854,FBgn0032338,CG16854
CG16888,FBgn0032533,CG16888
CG16894,FBgn0034483,CG16894
CG1690,FBgn0033442,lut
CG16957,FBgn0032519,CG16957
CG16964,FBgn0032385,CG16964
CG16972,FBgn0032481,CG16972
CG16979,FBgn0036512,Ufsp2
CG16984,FBgn0062517,CG16984
CG17003,FBgn0031082,lky
CG17005,FBgn0032109,CG17005
CG17010,FBgn0032424,CG17010
CG17030,FBgn0035584,CG17030
CG17048,FBgn0033828,CG17048
CG17083,FBgn0039070,wam
CG17098,FBgn0287630,dbf
CG17104,FBgn0040496,CG17104
CG17118,FBgn0032291,CG17118
CG17122,FBgn0036962,CG17122
CG17129,FBgn0035151,CG17129
CG17154,FBgn0036246,CG17154
CG17173,FBgn0036447,Mgat4b
CG17195,FBgn0039369,CG17195
CG17196,FBgn0039368,CG17196
CG17198,FBgn0039366,CG17198
CG17199,FBgn0038775,CG17199
CG17217,FBgn0032419,CG17217
CG1722,FBgn0031168,CG1722
CG17230,FBgn0046225,CG17230
CG17237,FBgn0031410,CG17237
CG1724,FBgn0031164,CG1724
CG17258,FBgn0031496,CG17258
CG17260,FBgn0031498,CG17260
CG17261,FBgn0031501,CG17261
CG17267,FBgn0038821,CG17267
CG17287,FBgn0034202,CG17287
CG17300,FBgn0036345,CG17300
CG17329,FBgn0028896,CG17329
CG17349,FBgn0032771,CG17349
CG17350,FBgn0032772,CG17350
CG17375,FBgn0031861,CG17375
CG17376,FBgn0042189,CG17376
CG17377,FBgn0031859,CG17377
CG17378,FBgn0031858,CG17378
CG17380,FBgn0039077,CG17380
CG17387,FBgn0037276,Ccdc39
CG17440,FBgn0030120,CG17440
CG17450,FBgn0040028,CG17450
CG17470,FBgn0032869,CG17470
CG17564,FBgn0032768,CG17564
CG17580,FBgn0040755,CG17580
CG17601,FBgn0031197,CG17601
CG17625,FBgn0039002,CG17625
CG17648,FBgn0031364,CG17648
CG17650,FBgn0031365,CG17650
CG17666,FBgn0036311,CG17666
CG17669,FBgn0034352,Dnaaf3
CG17687,FBgn0036348,CG17687
CG17717,FBgn0029877,CG17717
CG17732,FBgn0036923,CG17732
CG17744,FBgn0035730,CG17744
CG17764,FBgn0029751,CG17764
CG17819,FBgn0038915,CG17819
CG17821,FBgn0034383,CG17821
CG17917,FBgn0037431,CG17917
CG17944,FBgn0037500,CG17944
CG17977,FBgn0040778,CG17977
CG17991,FBgn0039498,CG17991
CG1801,FBgn0031171,CG1801
CG18063,FBgn0028856,CG18063
CG18109,FBgn0028901,t-Grip91
CG18128,FBgn0034898,CG18128
CG18130,FBgn0030359,CG18130
CG18131,FBgn0031343,CG18131
CG18132,FBgn0031345,CG18132
CG18155,FBgn0029945,Acsf3
CG18171,FBgn0035262,CG18171
CG18178,FBgn0036035,CG18178
CG18223,FBgn0036832,CG18223
CG18259,FBgn0030956,CG18259
CG18266,FBgn0031724,CG18266
CG18335,FBgn0033610,CG18335
CG18336,FBgn0040763,CG18336
CG1835,FBgn0031127,CG1835
CG18368,FBgn0033864,CG18368
CG18371,FBgn0033893,CG18371
CG18418,FBgn0035568,CG18418
CG18449,FBgn0033285,CG18449
CG18469,FBgn0034206,CG18469
CG18518,FBgn0028900,CG18518
CG18545,FBgn0037812,CG18545
CG18558,FBgn0031469,CG18558
CG18568,FBgn0033888,CG18568
CG18605,FBgn0034411,CG18605
CG18641,FBgn0031426,CG18641
CG18659,FBgn0027561,CG18659
CG18662,FBgn0040963,CG18662
CG18666,FBgn0040967,CG18666
CG18675,FBgn0040696,CG18675
CG18787,FBgn0042125,CG18787
CG18789,FBgn0042127,CG18789
CG18808,FBgn0042131,CG18808
CG18810,FBgn0042133,CG18810
CG18823,FBgn0042146,CG18823
CG1890,FBgn0039869,Tbca
CG1894,FBgn0039585,Myst5
CG1924,FBgn0030377,CG1924
CG1958,FBgn0029940,CG1958
CG1971,FBgn0039881,CG1971
CG1979,FBgn0026563,CG1979
CG1999,FBgn0029947,CG1999
CG2034,FBgn0015359,Elp5
CG2053,FBgn0039887,Pos
CG2061,FBgn0027498,CG2061
CG2100,FBgn0037369,CG2100
CG2104,FBgn0037365,CG2104
CG2113,FBgn0035384,CG2113
CG2127,FBgn0033286,CG2127
CG2147,FBgn0030025,CG2147
CG2209,FBgn0030441,CG2209
CG2224,FBgn0039773,CG2224
CG2267,FBgn0039792,CG2267
CG2277,FBgn0035204,Nt5a
CG2291,FBgn0033279,CG2291
CG2336,FBgn0037455,CG2336
CG2528,FBgn0032969,CG2528
CG2533,FBgn0030319,CG2533
CG2574,FBgn0030386,CG2574
CG2577,FBgn0030384,CG2577
CG2616,FBgn0037512,CG2616
CG2652,FBgn0025838,CG2652
CG2750,FBgn0030376,CG2750
CG2790,FBgn0027599,CG2790
CG2794,FBgn0031265,CG2794
CG2854,FBgn0040391,CG2854
CG2861,FBgn0029728,CG2861
CG2871,FBgn0029725,CG2871
CG2887,FBgn0030207,CG2887
CG2898,FBgn0030195,CG2898
CG2901,FBgn0029679,CG2901
CG2921,FBgn0034689,CG2921
CG2955,FBgn0031585,CG2955
CG2964,FBgn0031462,CG2964
CG30015,FBgn0050015,CG30015
CG30037,FBgn0050037,CG30037
CG30039,FBgn0050039,CG30039
CG30048,FBgn0050048,CG30048
CG30056,FBgn0050056,CG30056
CG30060,FBgn0265272,CG30060
CG30065,FBgn0050065,CG30065
CG30075,FBgn0050075,CG30075
CG30094,FBgn0050094,CG30094
CG30099,FBgn0050099,CG30099
CG30103,FBgn0050103,CG30103
CG30109,FBgn0050109,CG30109
CG30110,FBgn0050110,CG30110
CG30156,FBgn0050156,CG30156
CG30157,FBgn0050157,Ufsp1
CG30161,FBgn0050161,CG30161
CG30177,FBgn0050177,CG30177
CG30178,FBgn0050178,CG30178
